objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Mystic Vale","194607","7","","0","1","0","0","0","0","0","0","0","3","","","","","","46956662","6.98538","7.29638","2.2772","377","10957","thing","Mystic Vale","2","4","45","45","45","2016","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Nations","126042","7","","0","1","0","0","0","0","0","0","0","1","","","","","","24647511","7.39638","7.6593","3.5361","123","11264","thing","Nations","1","5","200","200","40","2013","1,2,3,4,5","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Nations: The Dice Game","157809","7","","2","1","0","0","0","0","0","0","0","3","","","","","","29085927","6.62611","6.97223","2.0197","778","4780","thing","Nations: The Dice Game","1","4","40","40","20","2014","1,2,3,4","","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Near and Far","195421","7","","0","1","0","0","0","0","0","0","0","3","","","","","","46956489","7.37747","7.87526","2.8264","133","12641","thing","Near and Far","2","4","120","120","90","2017","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Nemesis","167355","8","","0","1","0","0","0","0","0","0","0","3","","","","","","66035430","7.67324","8.49897","3.2936","49","9401","thing","Nemesis","1","5","180","180","90","2018","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Neolithic","193486","8","","0","1","0","0","0","0","0","0","0","3","","","","","","36073755","5.77752","7.32523","2.0833","3659","692","thing","Neolithic","1","2","45","45","30","2016","2","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Nevermore","173047","7","","0","1","0","0","0","0","0","0","0","1","","","","","","31253099","5.98594","6.69597","1.9062","2357","1808","thing","Nevermore","3","6","60","60","45","2015","3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"New Dawn","135654","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36073768","5.95285","6.92985","3.027","2512","1958","thing","New Dawn","2","4","120","120","90","2014","2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"New York 1901","174660","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073777","6.56287","6.87543","2.0565","872","8262","thing","New York 1901","2","4","60","60","30","2015","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"New York 1901","174660","6","","0","0","0","0","0","0","0","0","0","3","","","","","","36073780","6.56287","6.87543","2.0565","872","8262","thing","New York 1901","2","4","60","60","30","2015","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Nightfall","88408","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36073783","6.22408","6.51154","2.6389","1535","5170","thing","Nightfall","2","5","45","45","45","2011","2,3,4,5","","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ninja All-Stars","164448","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36073787","5.61252","6.36015","2.6667","6274","954","thing","Ninja All-Stars","2","4","90","90","90","2015","2,3,4","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Ninth World: A Skillbuilding Game for Numenera","189154","0","","0","0","0","0","0","1","0","0","1","4","","","","","","52525669","5.56185","6.44842","2.6667","8497","378","thing","The Ninth World: A Skillbuilding Game for Numenera","1","5","60","60","30","2018","","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"No Thanks!","12942","6","","0","1","0","0","0","0","0","0","0","3","","","","","","23896221","6.93999","7.05134","1.1432","420","24579","thing","No Thanks!","3","7","20","20","20","2004","3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Not Alone","194879","0","","0","0","0","0","0","0","0","0","1","2","","","","","","46956879","6.75102","7.06397","1.944","626","10011","thing","Not Alone","2","7","45","45","30","2016","3,4,5,6,7","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Nothing Personal","120523","0","","0","1","0","0","0","0","0","0","0","3","","","","","","25884474","6.49621","7.10795","2.7714","964","3212","thing","Nothing Personal","3","5","120","120","120","2013","3,4,5","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Odin's Ravens","4396","7","","0","1","0","0","0","0","0","0","0","3","","","","","","34054264","6.32891","6.65909","1.6771","1278","4581","thing","Odin's Ravens","2","2","30","30","30","2002","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Omen: A Reign of War","94104","9","","0","1","0","0","0","0","0","0","0","3","","","","","","28821710","6.44131","7.40886","2.3404","1064","2782","thing","Omen: A Reign of War","2","2","30","30","30","2011","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"One Deck Dungeon","179275","6","","0","1","0","0","0","0","0","0","0","1","","","","","","46956882","6.81491","7.17389","2.0067","553","13259","thing","One Deck Dungeon","1","2","45","45","30","2016","1,2","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"One Night Ultimate Werewolf","147949","7","","0","1","0","0","0","0","0","0","0","3","","","","","","28836297","7.00948","7.18482","1.3977","353","30872","thing","One Night Ultimate Werewolf","3","10","10","10","10","2014","4,5,6,7,8,9,10","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"One Night Ultimate Werewolf Daybreak","163166","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36073806","6.90949","7.41767","1.4535","451","10516","thing","One Night Ultimate Werewolf Daybreak","3","7","10","10","10","2015","4,5,6,7","5,6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Onirim (second edition)","156336","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073809","6.82025","7.13506","1.5775","544","9663","thing","Onirim (second edition)","1","2","15","15","15","2014","1,2","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Orléans","164928","8","","0","1","0","0","0","0","0","0","0","3","","","","","","46810673","7.8787","8.0786","3.0645","26","20948","thing","Orléans","2","4","90","90","90","2014","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Others","172047","7","","0","1","0","0","0","0","0","0","0","3","","","","","","36530891","6.72514","7.42975","3.0444","654","6482","thing","The Others","2","5","90","90","90","2016","2,3,4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Palaces of Carrara","129948","8","","0","1","0","0","0","0","0","0","0","3","","","","","","36577602","6.75221","7.2091","2.6124","624","4093","thing","The Palaces of Carrara","2","4","60","60","60","2012","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic","30549","6","","0","1","0","0","0","0","0","0","0","3","","","","","","21735152","7.53009","7.62488","2.4205","81","131436","thing","Pandemic","2","4","45","45","45","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic Legacy: Season 1","161936","7","","0","0","0","0","0","0","1","0","0","3","","","","","","46810605","8.47248","8.62539","2.8321","2","54224","thing","Pandemic Legacy: Season 1","2","4","60","60","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic Legacy: Season 2","221107","10","","0","0","0","0","0","0","1","0","0","3","","","","","","46810863","7.80812","8.20349","3.26","32","18386","thing","Pandemic Legacy: Season 2","2","4","60","60","60","2017","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic: Iberia","198928","8","","0","1","0","0","0","0","0","0","0","3","","","","","","46956417","7.50559","7.95108","2.5893","87","12875","thing","Pandemic: Iberia","2","5","45","45","45","2016","1,2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic: The Cure","150658","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36073830","7.05743","7.32467","2.05","310","13107","thing","Pandemic: The Cure","2","5","30","30","30","2014","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Paperback","141572","7","","0","1","0","0","0","0","0","0","0","1","","","","","","28821908","6.97168","7.23329","1.9821","388","12385","thing","Paperback","2","5","45","45","45","2014","2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Patchwork","163412","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073839","7.58111","7.68939","1.6663","67","54168","thing","Patchwork","2","2","30","30","15","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Patchwork","163412","6","","0","0","0","0","0","0","0","0","0","3","","","","","","36073842","7.58111","7.68939","1.6663","67","54168","thing","Patchwork","2","2","30","30","15","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Path of Light and Shadow","217398","7","","0","1","0","0","0","0","0","0","0","3","","","","","","47492833","6.25201","7.48337","3.175","1466","1456","thing","Path of Light and Shadow","2","4","120","120","60","2017","2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – ""Birdcruncher Crown"" Promo Card","150070","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744072","5.61759","7.19464","2.2","0","769","thing","Pathfinder Adventure Card Game: Rise of the Runelords – ""Birdcruncher Crown"" Promo Card","1","4","90","90","90","2013","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – ""Blessing of Zarongel"" Promo Card","149758","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744074","5.62165","7.22027","2.2857","0","725","thing","Pathfinder Adventure Card Game: Rise of the Runelords – ""Blessing of Zarongel"" Promo Card","1","4","90","90","90","2013","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – ""Dance With Squealy Nord"" Promo Card","149926","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744075","5.60234","7.33882","2.6667","0","614","thing","Pathfinder Adventure Card Game: Rise of the Runelords – ""Dance With Squealy Nord"" Promo Card","1","4","90","90","90","2013","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – ""Fire Sneeze"" Promo Card","146631","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744069","5.61422","7.63747","2.4","0","577","thing","Pathfinder Adventure Card Game: Rise of the Runelords – ""Fire Sneeze"" Promo Card","1","4","90","90","90","2013","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – ""Goblin Plate +1"" Promo Card","150072","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744082","5.59133","7.28134","2.1667","0","582","thing","Pathfinder Adventure Card Game: Rise of the Runelords – ""Goblin Plate +1"" Promo Card","1","4","90","90","90","2014","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – ""Grindylow"" Promo Card","149924","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744077","5.60497","7.18141","2.4","0","730","thing","Pathfinder Adventure Card Game: Rise of the Runelords – ""Grindylow"" Promo Card","1","4","90","90","90","2014","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – ""Horsechopper +1"" Promo Card","149925","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744079","5.60057","7.17075","2.3333","0","672","thing","Pathfinder Adventure Card Game: Rise of the Runelords – ""Horsechopper +1"" Promo Card","1","4","90","90","90","2014","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – ""Poog of Zarongel"" Promo Card","146632","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744068","5.72476","7.73065","2.6","0","891","thing","Pathfinder Adventure Card Game: Rise of the Runelords – ""Poog of Zarongel"" Promo Card","1","4","90","90","90","2013","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 2: The Skinsaw Murders","142423","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744057","6.52541","7.62718","2.6508","0","6495","thing","Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 2: The Skinsaw Murders","1","6","90","90","90","2013","1,2,3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 3: The Hook Mountain Massacre","144873","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744061","6.43445","7.67773","2.4565","0","5512","thing","Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 3: The Hook Mountain Massacre","1","6","90","90","90","2013","1,2,3,4,5,6","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 4: Fortress of the Stone Giants","149261","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744062","6.29225","7.66876","2.4103","0","4758","thing","Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 4: Fortress of the Stone Giants","1","6","0","0","0","2014","1,2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 5: Sins of the Saviors","150074","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744064","6.21916","7.6649","2.5667","0","4304","thing","Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 5: Sins of the Saviors","1","6","90","90","90","2014","1,2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 6: Spires of Xin-Shalast","150798","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744066","6.19018","7.70189","2.5357","0","4077","thing","Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 6: Spires of Xin-Shalast","1","6","120","120","120","2014","1,2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – Base Set","133038","8","","0","1","0","0","0","0","0","0","0","3","","","","","","21734785","7.00363","7.25168","2.7114","361","17492","thing","Pathfinder Adventure Card Game: Rise of the Runelords – Base Set","1","4","90","90","90","2013","1,2,3,4","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – Character Add-On Deck","139037","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744059","6.63596","7.62188","2.726","0","6643","thing","Pathfinder Adventure Card Game: Rise of the Runelords – Character Add-On Deck","1","6","90","90","90","2013","1,2,3,4,5,6","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Skull & Shackles – Base Set","151007","8","","0","1","0","0","0","0","0","0","0","3","","","","","","24744054","6.61156","7.35316","2.9651","800","5916","thing","Pathfinder Adventure Card Game: Skull & Shackles – Base Set","1","4","120","120","120","2014","1,2,3,4","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Wrath of the Righteous – Base Set","169416","8","","0","1","0","0","0","0","0","0","0","3","","","","","","28836099","6.29362","7.50446","3.1282","1366","2966","thing","Pathfinder Adventure Card Game: Wrath of the Righteous – Base Set","1","4","120","120","120","2015","1,2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Penny Press","148205","6","","0","1","0","0","0","0","0","0","0","3","","","","","","28836101","5.90545","6.60069","2.2059","2738","1358","thing","Penny Press","2","5","60","60","45","2015","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Pillars of the Earth","24480","7","","0","1","0","0","0","0","0","0","0","1","","","","","","21734919","7.13763","7.30184","2.8254","255","18406","thing","The Pillars of the Earth","2","4","120","120","90","2006","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"PitchCar","150","0","","0","0","0","0","0","0","0","0","1","1","","","","","","46956572","7.00874","7.24233","1.1289","356","9355","thing","PitchCar","2","8","30","30","30","1995","2,3,4,5,6,7,8","6","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pixel Tactics","125548","7","","0","1","0","0","0","0","0","0","0","3","","","","","","22110611","6.45163","6.97219","2.6179","1042","5789","thing","Pixel Tactics","2","2","30","30","30","2012","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pixel Tactics 2","137423","7","","0","1","0","0","0","0","0","0","0","3","","","","","","22110615","6.1803","7.15414","2.5882","1661","3202","thing","Pixel Tactics 2","2","2","45","45","45","2013","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pixel Tactics 3","152899","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073856","5.98191","7.19333","2.4444","2371","2119","thing","Pixel Tactics 3","2","2","30","30","30","2014","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pixel Tactics Deluxe","169274","0","","0","1","0","0","0","0","0","0","0","3","","","","","","34054646","5.97283","7.46743","2.5833","2414","1820","thing","Pixel Tactics Deluxe","2","4","45","45","45","2015","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Porta Nigra","172385","0","","0","0","0","0","0","0","0","0","1","1","","","","","","30163408","6.46378","7.20965","2.9775","1023","3251","thing","Porta Nigra","2","4","120","120","75","2015","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Power Grid","2651","4","","0","0","0","0","0","0","0","0","0","3","","","","","","21784569","7.78871","7.88126","3.2761","34","60640","thing","Power Grid","2","6","120","120","120","2004","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Quantum","143519","0","","0","0","0","0","0","0","0","0","1","2","","","","","","29751535","6.93078","7.29887","2.4472","428","7148","thing","Quantum","2","4","60","60","60","2013","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Qwixx","131260","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073866","6.66325","6.8859","1.1275","724","13190","thing","Qwixx","2","5","15","15","15","2012","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Qwixx","131260","6","","0","0","0","0","0","0","0","0","0","3","","","","","","36073868","6.66325","6.8859","1.1275","724","13190","thing","Qwixx","2","5","15","15","15","2012","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Race for the Galaxy","28143","6","","0","0","0","0","0","0","0","0","0","3","","","","","","21737846","7.66267","7.76257","2.9755","50","51065","thing","Race for the Galaxy","2","4","60","60","30","2007","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Raiders of the North Sea","170042","0","","0","0","0","0","0","0","0","0","1","2","","","","","","53155360","7.51716","7.80433","2.5253","83","15391","thing","Raiders of the North Sea","2","4","80","80","60","2015","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Ravens of Thri Sahashri","150293","8","","0","1","0","0","0","0","0","0","0","3","","","","","","30002295","6.24673","7.2523","3.3889","1477","2788","thing","The Ravens of Thri Sahashri","2","2","45","45","45","2013","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Red Dragon Inn 2","33451","6","","0","1","0","0","0","0","0","0","0","3","","","","","","21735364","6.38215","6.92661","1.8144","1176","5477","thing","The Red Dragon Inn 2","2","4","45","45","45","2008","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Red Dragon Inn 3","66510","6","","0","1","0","0","0","0","0","0","0","3","","","","","","21735367","6.28244","7.20272","1.9459","1398","3924","thing","The Red Dragon Inn 3","2","4","60","60","60","2011","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Resistance: Avalon","128882","6","","0","1","0","0","0","0","0","0","0","3","","","","","","24834172","7.43716","7.60692","1.7783","107","33680","thing","The Resistance: Avalon","5","10","30","30","30","2012","5,6,7,8,9,10","7,8","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Rise of Tribes","202583","8","","0","1","0","0","0","0","0","0","0","3","","","","","","53068282","6.47537","7.36629","2.1711","1003","3351","thing","Rise of Tribes","2","4","60","60","30","2018","2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Risk Legacy","105134","4","","0","0","0","0","0","0","0","0","0","3","","","","","","28836286","7.09181","7.45981","2.5932","285","12215","thing","Risk Legacy","3","5","60","60","60","2011","4,5","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Rivals for Catan","66056","8","","0","1","0","0","0","0","0","0","0","3","","","","","","23404984","6.64615","7.0021","2.324","749","10933","thing","Rivals for Catan","2","2","120","120","45","2010","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Rivals for Catan: Age of Darkness","93401","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073884","6.03744","7.57146","2.1739","0","2465","thing","Rivals for Catan: Age of Darkness","2","2","75","75","60","2011","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Robinson Crusoe: Adventures on the Cursed Island","121921","7","","0","1","0","0","0","0","0","0","0","3","","","","","","21769601","7.71895","7.88517","3.7584","44","44143","thing","Robinson Crusoe: Adventures on the Cursed Island","1","4","120","120","60","2012","1,2,3,4","","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Rococo","144344","8","","0","1","0","0","0","0","0","0","0","3","","","","","","26348205","7.23075","7.58457","3.0974","204","7730","thing","Rococo","2","5","120","120","60","2013","2,3,4,5","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Roll for the Galaxy","132531","6","","0","1","0","0","0","0","0","0","0","3","","","","","","27485661","7.56051","7.70731","2.7718","71","28343","thing","Roll for the Galaxy","2","5","45","45","45","2014","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Roll Player","169426","7","","0","1","0","0","0","0","0","0","0","3","","","","","","46956703","7.23034","7.51663","2.3846","205","13837","thing","Roll Player","1","4","90","90","60","2016","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Roll Through the Ages: The Bronze Age","37380","0","","0","0","0","0","0","0","0","0","1","3","","","","","","21769545","6.73268","6.88778","1.7791","648","12499","thing","Roll Through the Ages: The Bronze Age","1","4","45","45","30","2008","1,2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Runebound (Third Edition)","181530","7","","0","1","0","0","0","0","0","0","0","3","","","","","","36073893","6.94737","7.54656","2.6861","411","7598","thing","Runebound (Third Edition)","2","4","180","180","120","2015","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Saint Petersburg","9217","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073898","7.13358","7.31308","2.4699","260","11550","thing","Saint Petersburg","2","4","60","60","45","2004","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Samurai","3","7","","0","1","0","0","0","0","0","0","0","3","","","","","","36073901","7.25138","7.44218","2.4965","193","14141","thing","Samurai","2","4","60","60","30","1998","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Samurai Spirit","158900","6","","0","1","0","0","0","0","0","0","0","3","","","","","","28821596","6.38569","6.70741","2.1411","1167","7021","thing","Samurai Spirit","1","7","30","30","30","2014","1,2,3,4,5,6,7","","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"San Juan","8217","6","","0","1","0","0","0","0","0","0","0","3","","","","","","46956481","7.14241","7.26886","2.2896","253","22942","thing","San Juan","2","4","60","60","45","2004","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"San Juan (Second Edition)","166669","7","","0","1","0","0","0","0","0","0","0","3","","","","","","36073904","7.09315","7.54548","2.084","282","7733","thing","San Juan (Second Edition)","2","4","60","60","45","2014","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Sanssouci","146816","7","","0","1","0","0","0","0","0","0","0","3","","","","","","34054311","6.28699","7.13272","2.0517","1385","2010","thing","Sanssouci","2","4","45","45","30","2013","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Santorini","194655","7","","0","1","0","0","0","0","0","0","0","3","","","","","","46810774","7.41066","7.58184","1.7347","116","34378","thing","Santorini","2","4","20","20","20","2016","2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
